name,category,description,external_source,external_id,status,parent_behaviors
Abuse 'Invites',TECHNIQUE,Adversaries utilize invites to gain access to data,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0010,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Abuse Account Recovery Flows,TECHNIQUE,Adversaries use account recovery flows to gain additional information such as contact points or usernames.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0019,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}, {'external_id': 'PTA0003', 'name': 'Asset Takeover'}, {'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Abuse Authentication Token Permissions,SUB_TECHNIQUE,"Authentication tokens can contain excessive privileges. By checking the token's permissions, adversaries utilize the token for unintended access to additional (or deprecated) functionality. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0003.001,ACTIVE,"[{'external_id': 'PT0003', 'name': 'Access Token Abuse'}]"
Abuse Cached Data,TECHNIQUE,Adversaries access data that is cached. Adversaries may choose this method to avoid directly querying the platform.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0083,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}, {'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Abuse CDN links,SUB_TECHNIQUE,Adversaries access data directly from Content Delivery Network links. Adversaries may utilize this technique to evade logging and expected privacy controls.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040.017,ACTIVE,"[{'external_id': 'PT0040', 'name': 'Scraping'}]"
Abuse Error Handling Messages,TECHNIQUE,Adversaries leverage information or behavior disclosed by error handling messages to learn secret information,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0045,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}, {'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Abuse Machine Learning Models,TECHNIQUE,Adversaries manipulate machine learning models such as recommendation systems to return information from the platform.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0007,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Abuse Misconfigured Platform Privacy Policies,TECHNIQUE,"Adversaries take advantage of misconfigured privacy policies offered by the platform. For example, a user might set their birthday to be public when they mean for the setting to be private.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0021,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Abuse Real-time Communications,TECHNIQUE,"Adversaries abuse real-time communications to obtain data about others. For example, when communicating with others using peer-to-peer protocols such as WebRTC, IP addresses may be collected.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0113,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Abuse Redirects,TECHNIQUE,Adversaries utilize redirects to send traffic to their servers and steal personal data. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0014,ACTIVE,"[{'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
